,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1231,CLE,CLE @ UTA,01/12/2022,,W,240,111,43,81,53.1,11,30,36.7,14,17,82.4,7,43,50,28,6,3,15,17,20
1232,HOU,HOU @ SAS,01/12/2022,,W,240,128,45,82,54.9,16,36,44.4,22,32,68.8,4,44,48,23,5,7,14,24,4
1233,SAS,SAS vs. HOU,01/12/2022,,L,240,124,43,99,43.4,17,46,37.0,21,27,77.8,9,34,43,27,10,5,9,24,-4
1234,MIA,MIA @ ATL,01/12/2022,,W,240,115,43,90,47.8,16,45,35.6,13,14,92.9,10,44,54,28,7,4,15,20,24
1235,ATL,ATL vs. MIA,01/12/2022,,L,240,91,31,82,37.8,13,45,28.9,16,23,69.6,6,31,37,20,8,3,14,15,-24
1236,CHA,CHA @ PHI,01/12/2022,,W,240,109,46,89,51.7,10,34,29.4,7,8,87.5,7,35,42,29,9,3,12,21,11
1237,PHI,PHI vs. CHA,01/12/2022,,L,240,98,34,73,46.6,12,30,40.0,18,28,64.3,3,30,33,18,3,3,17,13,-11
1238,BOS,BOS @ IND,01/12/2022,,W,240,119,40,78,51.3,18,38,47.4,21,25,84.0,7,30,37,23,6,5,13,22,19
1239,IND,IND vs. BOS,01/12/2022,,L,240,100,40,86,46.5,7,36,19.4,13,20,65.0,11,26,37,27,6,5,12,24,-19
1240,ORL,ORL @ WAS,01/12/2022,,L,240,106,41,99,41.4,11,35,31.4,13,16,81.3,18,31,49,31,6,6,9,16,-6
1241,WAS,WAS vs. ORL,01/12/2022,,W,240,112,43,82,52.4,10,31,32.3,16,21,76.2,6,36,42,26,6,4,10,14,6
1242,DAL,DAL @ NYK,01/12/2022,,L,240,85,32,78,41.0,8,37,21.6,13,19,68.4,5,34,39,16,6,2,13,18,-23
1243,NYK,NYK vs. DAL,01/12/2022,,W,240,108,42,90,46.7,12,27,44.4,12,15,80.0,11,43,54,24,5,4,9,21,23
1244,LAC,LAC vs. DEN,01/11/2022,,W,240,87,34,84,40.5,10,34,29.4,9,12,75.0,3,28,31,23,12,4,9,22,2
1245,DEN,DEN @ LAC,01/11/2022,,L,240,85,32,80,40.0,4,33,12.1,17,20,85.0,13,43,56,24,4,2,20,19,-2
1246,MIN,MIN @ NOP,01/11/2022,,L,240,125,42,86,48.8,18,39,46.2,23,31,74.2,9,23,32,27,11,4,13,24,-3
1247,NOP,NOP vs. MIN,01/11/2022,,W,240,128,42,76,55.3,16,33,48.5,28,37,75.7,9,29,38,33,6,1,21,26,3
1248,CHI,CHI vs. DET,01/11/2022,,W,240,133,50,92,54.3,18,34,52.9,15,19,78.9,14,47,61,33,13,4,18,23,46
1249,DET,DET @ CHI,01/11/2022,,L,240,87,30,89,33.7,6,35,17.1,21,27,77.8,15,26,41,17,9,7,18,20,-46
1250,GSW,GSW @ MEM,01/11/2022,,L,240,108,35,82,42.7,13,36,36.1,25,29,86.2,4,41,45,25,8,5,17,19,-8
1251,MEM,MEM vs. GSW,01/11/2022,,W,240,116,44,100,44.0,14,34,41.2,14,18,77.8,11,38,49,30,11,8,11,18,8
1252,PHX,PHX @ TOR,01/11/2022,,W,240,99,35,74,47.3,11,32,34.4,18,22,81.8,10,29,39,25,10,2,20,23,4
1253,TOR,TOR vs. PHX,01/11/2022,,L,240,95,36,89,40.4,8,37,21.6,15,25,60.0,22,25,47,15,11,3,16,20,-4
1254,WAS,WAS vs. OKC,01/11/2022,,W,240,122,47,87,54.0,11,33,33.3,17,23,73.9,7,35,42,29,3,7,8,15,4
1255,OKC,OKC @ WAS,01/11/2022,,L,240,118,47,98,48.0,11,39,28.2,13,15,86.7,9,32,41,23,5,1,5,20,-4
1256,BKN,BKN @ POR,01/10/2022,,L,240,108,42,91,46.2,12,32,37.5,12,15,80.0,12,30,42,23,9,6,15,22,-6
1257,POR,POR vs. BKN,01/10/2022,,W,240,114,40,86,46.5,15,38,39.5,19,26,73.1,11,36,47,23,8,9,15,17,6
1258,CLE,CLE @ SAC,01/10/2022,,W,240,109,43,87,49.4,10,34,29.4,13,15,86.7,14,34,48,29,6,8,17,18,1
1259,SAC,SAC vs. CLE,01/10/2022,,L,240,108,39,91,42.9,14,30,46.7,16,22,72.7,15,28,43,20,10,3,12,16,-1
1260,PHI,PHI @ HOU,01/10/2022,,W,240,111,43,94,45.7,10,35,28.6,15,18,83.3,14,33,47,23,14,7,15,21,20
1261,HOU,HOU vs. PHI,01/10/2022,,L,240,91,30,77,39.0,13,42,31.0,18,27,66.7,7,32,39,18,8,7,21,11,-20
1262,IND,IND @ BOS,01/10/2022,,L,265,98,36,94,38.3,11,37,29.7,15,17,88.2,10,37,47,22,10,6,20,21,-3
1263,BOS,BOS vs. IND,01/10/2022,,W,265,101,35,88,39.8,8,28,28.6,23,28,82.1,12,41,53,17,10,6,20,19,3
1264,SAS,SAS @ NYK,01/10/2022,,L,240,96,39,95,41.1,8,29,27.6,10,15,66.7,13,30,43,19,7,7,10,18,-15
1265,NYK,NYK vs. SAS,01/10/2022,,W,240,111,40,82,48.8,13,32,40.6,18,24,75.0,9,40,49,23,7,9,15,22,15
1266,MIL,MIL @ CHA,01/10/2022,,L,240,99,37,84,44.0,13,43,30.2,12,16,75.0,7,41,48,25,7,2,20,17,-4
1267,CHA,CHA vs. MIL,01/10/2022,,W,240,103,38,96,39.6,13,44,29.5,14,16,87.5,13,35,48,23,12,3,14,16,4
1268,UTA,UTA @ DET,01/10/2022,,L,240,116,44,86,51.2,11,33,33.3,17,22,77.3,10,30,40,23,9,4,16,16,-10
1269,DET,DET vs. UTA,01/10/2022,,W,240,126,48,93,51.6,19,37,51.4,11,12,91.7,9,30,39,30,9,7,12,20,10
1270,ORL,ORL vs. WAS,01/09/2022,,L,240,100,38,95,40.0,9,28,32.1,15,16,93.8,9,33,42,18,9,6,8,21,-2
1271,WAS,WAS @ ORL,01/09/2022,,W,240,102,36,88,40.9,11,29,37.9,19,24,79.2,12,42,54,23,1,6,13,21,2
1272,TOR,TOR vs. NOP,01/09/2022,,W,240,105,36,85,42.4,14,34,41.2,19,20,95.0,15,31,46,18,8,3,13,20,4
1273,NOP,NOP @ TOR,01/09/2022,,L,240,101,34,75,45.3,12,33,36.4,21,25,84.0,7,28,35,20,5,5,13,18,-4
1274,LAL,LAL vs. MEM,01/09/2022,,L,240,119,45,97,46.4,14,33,42.4,15,19,78.9,14,27,41,26,6,7,12,25,-8
1275,MEM,MEM @ LAL,01/09/2022,,W,240,127,47,86,54.7,11,30,36.7,22,32,68.8,10,37,47,33,10,10,14,22,8
1276,SAC,SAC @ POR,01/09/2022,,L,240,88,33,85,38.8,7,31,22.6,15,21,71.4,8,38,46,20,8,5,12,17,-15
1277,POR,POR vs. SAC,01/09/2022,,W,240,103,37,88,42.0,17,40,42.5,12,15,80.0,10,38,48,26,6,5,17,23,15
1278,ATL,ATL @ LAC,01/09/2022,,L,240,93,35,78,44.9,7,26,26.9,16,19,84.2,6,33,39,19,6,2,13,14,-13
1279,LAC,LAC vs. ATL,01/09/2022,,W,240,106,44,92,47.8,12,33,36.4,6,7,85.7,13,34,47,24,5,4,13,18,13
1280,BKN,BKN vs. SAS,01/09/2022,,W,265,121,47,98,48.0,8,28,28.6,19,22,86.4,13,42,55,26,8,8,22,18,2
1281,SAS,SAS @ BKN,01/09/2022,,L,265,119,46,107,43.0,13,32,40.6,14,18,77.8,12,32,44,33,12,8,15,19,-2
1282,CLE,CLE @ GSW,01/09/2022,,L,240,82,32,75,42.7,7,24,29.2,11,18,61.1,8,34,42,21,9,3,19,10,-14
1283,GSW,GSW vs. CLE,01/09/2022,,W,240,96,39,97,40.2,10,42,23.8,8,10,80.0,22,32,54,24,16,5,15,20,14
1284,DAL,DAL vs. CHI,01/09/2022,,W,240,113,44,88,50.0,16,36,44.4,9,9,100.0,7,41,48,28,4,2,10,14,14
1285,CHI,CHI @ DAL,01/09/2022,,L,240,99,39,90,43.3,11,33,33.3,10,13,76.9,8,31,39,23,8,3,7,15,-14
1286,HOU,HOU vs. MIN,01/09/2022,,L,240,123,46,97,47.4,14,43,32.6,17,28,60.7,10,35,45,31,5,6,13,17,-18
1287,MIN,MIN @ HOU,01/09/2022,,W,240,141,55,108,50.9,15,42,35.7,16,21,76.2,18,38,56,37,10,10,11,22,18
1288,OKC,OKC vs. DEN,01/09/2022,,L,240,95,38,88,43.2,9,38,23.7,10,12,83.3,11,30,41,29,9,7,9,13,-4
1289,DEN,DEN @ OKC,01/09/2022,,W,240,99,37,89,41.6,13,36,36.1,12,16,75.0,18,35,53,28,7,2,15,14,4
1290,PHX,PHX vs. MIA,01/08/2022,,L,240,100,30,79,38.0,14,34,41.2,26,29,89.7,6,29,35,24,10,1,16,14,-23
1291,MIA,MIA @ PHX,01/08/2022,,W,240,123,44,88,50.0,22,44,50.0,13,15,86.7,11,38,49,33,9,1,16,18,23
1292,BOS,BOS vs. NYK,01/08/2022,,W,240,99,36,76,47.4,12,29,41.4,15,17,88.2,9,36,45,26,8,8,12,15,24
1293,NYK,NYK @ BOS,01/08/2022,,L,240,75,29,79,36.7,11,31,35.5,6,15,40.0,11,29,40,13,8,4,14,15,-24
1294,MIL,MIL @ CHA,01/08/2022,,L,240,106,35,90,38.9,12,37,32.4,24,26,92.3,14,39,53,21,6,4,15,20,-8
1295,CHA,CHA vs. MIL,01/08/2022,,W,240,114,44,99,44.4,16,48,33.3,10,17,58.8,13,36,49,29,10,3,11,25,8
1296,ORL,ORL @ DET,01/08/2022,,L,240,92,29,86,33.7,14,46,30.4,20,23,87.0,8,36,44,25,6,9,13,20,-5
1297,DET,DET vs. ORL,01/08/2022,,W,240,97,38,87,43.7,10,33,30.3,11,16,68.8,7,42,49,23,7,6,13,21,5
1298,IND,IND vs. UTA,01/08/2022,,W,240,125,44,80,55.0,14,29,48.3,23,32,71.9,5,33,38,30,9,7,10,21,12
1299,UTA,UTA @ IND,01/08/2022,,L,240,113,40,84,47.6,15,35,42.9,18,19,94.7,9,30,39,20,6,3,15,25,-12
1300,LAC,LAC vs. MEM,01/08/2022,,L,240,108,39,96,40.6,10,32,31.3,20,24,83.3,14,35,49,16,7,6,13,23,-15
1301,MEM,MEM @ LAC,01/08/2022,,W,240,123,44,100,44.0,12,38,31.6,23,31,74.2,16,40,56,26,9,11,10,21,15
1302,POR,POR vs. CLE,01/07/2022,,L,240,101,37,92,40.2,16,35,45.7,11,19,57.9,16,35,51,22,8,5,12,19,-13
1303,CLE,CLE @ POR,01/07/2022,,W,240,114,39,80,48.8,17,39,43.6,19,29,65.5,8,35,43,22,7,3,9,15,13
1304,ATL,ATL @ LAL,01/07/2022,,L,240,118,43,96,44.8,13,36,36.1,19,27,70.4,13,41,54,29,3,0,15,18,-16
1305,LAL,LAL vs. ATL,01/07/2022,,W,240,134,50,101,49.5,17,41,41.5,17,19,89.5,8,39,47,37,14,4,8,26,16
1306,SAS,SAS @ PHI,01/07/2022,,L,240,100,38,92,41.3,9,30,30.0,15,20,75.0,11,28,39,22,6,6,12,21,-19
1307,PHI,PHI vs. SAS,01/07/2022,,W,240,119,45,87,51.7,8,23,34.8,21,27,77.8,12,37,49,28,7,4,13,18,19
1308,DEN,DEN vs. SAC,01/07/2022,,W,240,121,47,85,55.3,12,34,35.3,15,24,62.5,5,36,41,32,5,7,8,20,10
1309,SAC,SAC @ DEN,01/07/2022,,L,240,111,40,92,43.5,11,29,37.9,20,24,83.3,12,35,47,21,6,3,12,19,-10
1310,DAL,DAL @ HOU,01/07/2022,,W,240,130,49,90,54.4,17,38,44.7,15,28,53.6,11,44,55,34,6,4,16,24,24
1311,HOU,HOU vs. DAL,01/07/2022,,L,240,106,37,87,42.5,12,43,27.9,20,29,69.0,7,33,40,17,6,3,13,20,-24
1312,MIN,MIN @ OKC,01/07/2022,,W,240,135,50,90,55.6,17,41,41.5,18,25,72.0,8,37,45,39,12,8,15,18,30
1313,OKC,OKC vs. MIN,01/07/2022,,L,240,105,36,89,40.4,15,44,34.1,18,23,78.3,13,32,45,26,10,4,20,23,-30
1314,CHI,CHI vs. WAS,01/07/2022,,W,240,130,48,91,52.7,15,33,45.5,19,21,90.5,10,31,41,34,11,3,15,21,8
1315,WAS,WAS @ CHI,01/07/2022,,L,240,122,45,88,51.1,7,24,29.2,25,26,96.2,10,31,41,28,8,5,15,15,-8
1316,BKN,BKN vs. MIL,01/07/2022,,L,240,109,42,92,45.7,6,27,22.2,19,20,95.0,14,35,49,23,8,5,11,16,-12
1317,MIL,MIL @ BKN,01/07/2022,,W,240,121,44,96,45.8,16,45,35.6,17,21,81.0,13,32,45,21,6,3,11,20,12
1318,TOR,TOR vs. UTA,01/07/2022,,W,240,122,45,100,45.0,12,41,29.3,20,25,80.0,19,29,48,26,11,7,9,17,14
1319,UTA,UTA @ TOR,01/07/2022,,L,240,108,39,81,48.1,17,38,44.7,13,18,72.2,7,33,40,23,3,4,21,21,-14
1320,LAC,LAC @ PHX,01/06/2022,,L,240,89,31,86,36.0,6,28,21.4,21,25,84.0,8,41,49,20,5,7,13,16,-17
1321,PHX,PHX vs. LAC,01/06/2022,,W,240,106,44,107,41.1,10,31,32.3,8,10,80.0,21,42,63,22,5,7,8,20,17
1322,DET,DET @ MEM,01/06/2022,,L,240,88,34,99,34.3,10,44,22.7,10,13,76.9,10,29,39,23,7,3,13,14,-30
1323,MEM,MEM vs. DET,01/06/2022,,W,240,118,48,98,49.0,10,32,31.3,12,19,63.2,18,43,61,31,8,9,19,18,30
1324,BOS,BOS @ NYK,01/06/2022,,L,240,105,38,80,47.5,17,45,37.8,12,13,92.3,8,30,38,22,5,10,13,16,-3
1325,NYK,NYK vs. BOS,01/06/2022,,W,240,108,40,90,44.4,18,36,50.0,10,15,66.7,11,31,42,23,8,1,11,17,3
1326,GSW,GSW @ NOP,01/06/2022,,L,240,96,37,87,42.5,7,33,21.2,15,18,83.3,8,35,43,22,12,6,14,24,-5
1327,NOP,NOP vs. GSW,01/06/2022,,W,240,101,35,83,42.2,8,34,23.5,23,29,79.3,8,38,46,20,7,5,17,18,5
1328,MIA,MIA @ POR,01/05/2022,,W,240,115,37,82,45.1,19,41,46.3,22,29,75.9,14,36,50,29,3,3,11,21,6
1329,POR,POR vs. MIA,01/05/2022,,L,240,109,33,78,42.3,15,38,39.5,28,36,77.8,8,28,36,18,8,4,6,23,-6
1330,ATL,ATL @ SAC,01/05/2022,,W,240,108,39,86,45.3,8,30,26.7,22,30,73.3,10,38,48,20,8,5,10,14,6
1331,SAC,SAC vs. ATL,01/05/2022,,L,240,102,38,90,42.2,11,27,40.7,15,20,75.0,10,37,47,15,6,1,11,20,-6
1332,DEN,DEN vs. UTA,01/05/2022,,L,240,109,42,88,47.7,11,36,30.6,14,15,93.3,6,36,42,27,2,4,12,21,-6
1333,UTA,UTA @ DEN,01/05/2022,,W,240,115,43,92,46.7,14,41,34.1,15,18,83.3,8,36,44,22,7,4,7,18,6
1334,TOR,TOR @ MIL,01/05/2022,,W,240,117,42,89,47.2,16,36,44.4,17,25,68.0,10,34,44,24,8,4,15,20,6
1335,MIL,MIL vs. TOR,01/05/2022,,L,240,111,38,85,44.7,17,39,43.6,18,26,69.2,9,36,45,22,10,8,18,18,-6
1336,OKC,OKC @ MIN,01/05/2022,,L,240,90,33,90,36.7,9,35,25.7,15,18,83.3,14,38,52,21,11,7,18,18,-8
1337,MIN,MIN vs. OKC,01/05/2022,,W,240,98,36,90,40.0,12,44,27.3,14,20,70.0,15,40,55,23,11,7,16,16,8
1338,DAL,DAL vs. GSW,01/05/2022,,W,240,99,33,87,37.9,12,40,30.0,21,26,80.8,10,36,46,22,6,5,12,15,17
1339,GSW,GSW @ DAL,01/05/2022,,L,240,82,33,81,40.7,5,28,17.9,11,16,68.8,8,38,46,20,10,5,17,20,-17
1340,SAS,SAS @ BOS,01/05/2022,,W,240,99,42,88,47.7,10,26,38.5,5,5,100.0,12,36,48,20,6,5,18,13,2
1341,BOS,BOS vs. SAS,01/05/2022,,L,240,97,40,90,44.4,9,28,32.1,8,9,88.9,13,28,41,19,10,9,10,12,-2
1342,HOU,HOU @ WAS,01/05/2022,,W,240,114,40,85,47.1,9,26,34.6,25,32,78.1,10,38,48,15,10,2,21,24,3
1343,WAS,WAS vs. HOU,01/05/2022,,L,240,111,40,91,44.0,10,39,25.6,21,26,80.8,9,32,41,18,9,6,15,27,-3
1344,PHI,PHI @ ORL,01/05/2022,,W,240,116,43,85,50.6,12,28,42.9,18,24,75.0,10,32,42,26,8,4,17,16,10
1345,ORL,ORL vs. PHI,01/05/2022,,L,240,106,40,90,44.4,12,39,30.8,14,20,70.0,14,33,47,22,9,3,19,30,-10
1346,DET,DET @ CHA,01/05/2022,,L,240,111,43,92,46.7,14,42,33.3,11,20,55.0,9,27,36,26,12,3,13,21,-29
1347,CHA,CHA vs. DET,01/05/2022,,W,240,140,48,81,59.3,24,42,57.1,20,29,69.0,8,41,49,39,6,3,17,21,29
1348,IND,IND vs. BKN,01/05/2022,,L,240,121,41,82,50.0,13,39,33.3,26,28,92.9,7,26,33,26,3,5,17,19,-8
1349,BKN,BKN @ IND,01/05/2022,,W,240,129,49,86,57.0,5,21,23.8,26,29,89.7,9,29,38,28,13,4,12,20,8
1350,SAC,SAC @ LAL,01/04/2022,,L,240,114,43,83,51.8,14,34,41.2,14,18,77.8,9,36,45,31,2,3,18,18,-8
1351,LAL,LAL vs. SAC,01/04/2022,,W,240,122,49,99,49.5,11,32,34.4,13,20,65.0,14,30,44,24,6,5,5,16,8
1352,PHX,PHX @ NOP,01/04/2022,,W,240,123,46,85,54.1,17,31,54.8,14,20,70.0,5,37,42,32,7,5,11,24,13
1353,NOP,NOP vs. PHX,01/04/2022,,L,240,110,36,89,40.4,10,33,30.3,28,32,87.5,15,33,48,28,7,3,12,21,-13
1354,NYK,NYK vs. IND,01/04/2022,,W,240,104,39,80,48.8,6,28,21.4,20,28,71.4,14,37,51,17,6,0,10,23,10
1355,IND,IND @ NYK,01/04/2022,,L,240,94,32,76,42.1,9,38,23.7,21,32,65.6,9,26,35,22,3,3,12,20,-10
1356,CLE,CLE vs. MEM,01/04/2022,,L,240,106,40,92,43.5,10,34,29.4,16,21,76.2,14,35,49,28,2,6,13,14,-4
1357,MEM,MEM @ CLE,01/04/2022,,W,240,110,42,90,46.7,9,27,33.3,17,22,77.3,12,33,45,21,6,8,9,18,4
1358,SAS,SAS @ TOR,01/04/2022,,L,240,104,41,95,43.2,9,35,25.7,13,19,68.4,17,33,50,27,6,3,20,23,-25
1359,TOR,TOR vs. SAS,01/04/2022,,W,240,129,45,96,46.9,18,44,40.9,21,29,72.4,16,36,52,30,13,8,12,20,25
1360,MIN,MIN @ LAC,01/03/2022,,W,240,122,49,93,52.7,16,45,35.6,8,9,88.9,11,29,40,34,9,4,17,14,18
1361,LAC,LAC vs. MIN,01/03/2022,,L,240,104,39,78,50.0,11,32,34.4,15,17,88.2,4,27,31,22,12,3,21,10,-18
1362,MIA,MIA @ GSW,01/03/2022,,L,240,108,37,90,41.1,17,42,40.5,17,19,89.5,11,38,49,24,5,2,19,13,-7
1363,GSW,GSW vs. MIA,01/03/2022,,W,240,115,45,92,48.9,14,38,36.8,11,13,84.6,7,36,43,39,11,6,12,17,7
1364,POR,POR vs. ATL,01/03/2022,,W,240,136,47,89,52.8,18,41,43.9,24,28,85.7,12,29,41,29,10,3,10,19,5
1365,ATL,ATL @ POR,01/03/2022,,L,240,131,48,88,54.5,14,41,34.1,21,24,87.5,9,30,39,31,6,1,13,24,-5
1366,DEN,DEN @ DAL,01/03/2022,,L,240,89,31,67,46.3,6,25,24.0,21,29,72.4,11,36,47,21,6,1,26,24,-14
1367,DAL,DAL vs. DEN,01/03/2022,,W,240,103,35,78,44.9,14,37,37.8,19,21,90.5,5,23,28,23,12,5,11,21,14
1368,UTA,UTA @ NOP,01/03/2022,,W,240,115,41,85,48.2,19,39,48.7,14,17,82.4,10,33,43,22,6,4,15,24,11
1369,NOP,NOP vs. UTA,01/03/2022,,L,240,104,39,97,40.2,12,46,26.1,14,22,63.6,17,30,47,21,7,5,10,21,-11
1370,CHI,CHI vs. ORL,01/03/2022,,W,240,102,37,86,43.0,11,31,35.5,17,23,73.9,10,39,49,17,10,4,13,16,4
1371,ORL,ORL @ CHI,01/03/2022,,L,240,98,36,85,42.4,10,27,37.0,16,18,88.9,5,39,44,24,5,2,13,17,-4
1372,DET,DET @ MIL,01/03/2022,,W,240,115,44,91,48.4,18,43,41.9,9,14,64.3,9,38,47,31,6,1,14,21,9
1373,MIL,MIL vs. DET,01/03/2022,,L,240,106,39,92,42.4,11,46,23.9,17,22,77.3,11,36,47,21,9,2,8,12,-9
1374,MEM,MEM @ BKN,01/03/2022,,W,240,118,48,102,47.1,10,35,28.6,12,21,57.1,23,38,61,24,11,5,13,21,14
1375,BKN,BKN vs. MEM,01/03/2022,,L,240,104,37,82,45.1,9,31,29.0,21,26,80.8,8,25,33,28,10,10,13,20,-14
1376,CHA,CHA @ WAS,01/03/2022,,L,240,121,50,104,48.1,14,38,36.8,7,13,53.8,13,32,45,28,14,5,9,22,-3
1377,WAS,WAS vs. CHA,01/03/2022,,W,240,124,40,87,46.0,16,38,42.1,28,31,90.3,10,41,51,26,5,4,15,12,3
1378,PHI,PHI vs. HOU,01/03/2022,,W,240,133,50,96,52.1,17,40,42.5,16,17,94.1,12,42,54,33,7,7,14,21,20
1379,HOU,HOU @ PHI,01/03/2022,,L,240,113,37,89,41.6,15,44,34.1,24,33,72.7,11,31,42,25,6,4,11,16,-20
1380,PHX,PHX @ CHA,01/02/2022,,W,240,133,52,103,50.5,17,41,41.5,12,12,100.0,14,39,53,36,15,4,17,21,34
1381,CHA,CHA vs. PHX,01/02/2022,,L,240,99,39,85,45.9,9,35,25.7,12,21,57.1,5,29,34,27,10,9,18,15,-34
1382,NYK,NYK @ TOR,01/02/2022,,L,240,105,35,78,44.9,12,36,33.3,23,28,82.1,7,23,30,22,11,4,18,26,-15
1383,TOR,TOR vs. NYK,01/02/2022,,W,240,120,41,86,47.7,13,34,38.2,25,30,83.3,11,33,44,21,9,5,17,27,15
1384,BOS,BOS vs. ORL,01/02/2022,,W,265,116,39,86,45.3,13,36,36.1,25,28,89.3,9,37,46,25,5,10,22,23,5
1385,ORL,ORL @ BOS,01/02/2022,,L,265,111,40,95,42.1,9,27,33.3,22,27,81.5,10,35,45,17,12,3,16,24,-5
1386,LAL,LAL vs. MIN,01/02/2022,,W,240,108,36,75,48.0,13,41,31.7,23,29,79.3,4,24,28,20,13,5,18,16,5
1387,MIN,MIN @ LAL,01/02/2022,,L,240,103,41,92,44.6,9,38,23.7,12,16,75.0,20,36,56,21,9,2,24,22,-5
1388,DAL,DAL @ OKC,01/02/2022,,W,240,95,38,85,44.7,14,39,35.9,5,7,71.4,7,41,48,28,9,3,16,12,9
1389,OKC,OKC vs. DAL,01/02/2022,,L,240,86,35,85,41.2,10,30,33.3,6,9,66.7,7,34,41,20,11,4,11,16,-9
1390,CLE,CLE vs. IND,01/02/2022,,W,240,108,41,88,46.6,6,26,23.1,20,28,71.4,12,36,48,26,6,4,11,11,4
1391,IND,IND @ CLE,01/02/2022,,L,240,104,37,83,44.6,19,46,41.3,11,14,78.6,9,30,39,24,6,6,14,24,-4
1392,MIA,MIA @ SAC,01/02/2022,,L,240,113,46,105,43.8,9,33,27.3,12,12,100.0,18,31,49,26,4,3,9,18,-2
1393,SAC,SAC vs. MIA,01/02/2022,,W,240,115,40,78,51.3,13,34,38.2,22,27,81.5,7,32,39,31,3,2,16,18,2
1394,GSW,GSW @ UTA,01/01/2022,,W,240,123,46,86,53.5,17,32,53.1,14,21,66.7,7,33,40,39,10,2,15,24,7
1395,UTA,UTA vs. GSW,01/01/2022,,L,240,116,40,92,43.5,14,44,31.8,22,28,78.6,15,30,45,19,7,0,13,21,-7
1396,LAC,LAC @ BKN,01/01/2022,,W,240,120,42,86,48.8,14,36,38.9,22,31,71.0,7,33,40,23,7,6,11,19,4
1397,BKN,BKN vs. LAC,01/01/2022,,L,240,116,42,97,43.3,11,33,33.3,21,25,84.0,17,40,57,26,9,2,15,20,-4
1398,DEN,DEN @ HOU,01/01/2022,,W,240,124,46,86,53.5,10,32,31.3,22,27,81.5,13,33,46,33,10,6,18,23,13
1399,HOU,HOU vs. DEN,01/01/2022,,L,240,111,37,85,43.5,16,42,38.1,21,24,87.5,13,23,36,20,10,4,18,24,-13
1400,SAS,SAS @ DET,01/01/2022,,L,265,116,42,102,41.2,12,40,30.0,20,28,71.4,13,35,48,30,8,3,17,27,-1
1401,DET,DET vs. SAS,01/01/2022,,W,265,117,41,101,40.6,9,35,25.7,26,33,78.8,22,41,63,18,12,6,21,23,1
1402,WAS,WAS vs. CHI,01/01/2022,,L,240,119,46,87,52.9,6,27,22.2,21,26,80.8,6,37,43,26,9,3,12,22,-1
1403,CHI,CHI @ WAS,01/01/2022,,W,240,120,41,84,48.8,17,34,50.0,21,25,84.0,6,38,44,17,4,4,15,24,1
1404,NOP,NOP @ MIL,01/01/2022,,L,240,113,39,95,41.1,16,51,31.4,19,30,63.3,14,36,50,28,10,5,15,16,-23
1405,MIL,MIL vs. NOP,01/01/2022,,W,240,136,49,92,53.3,23,48,47.9,15,18,83.3,4,44,48,27,10,4,14,20,23
1406,SAC,SAC vs. DAL,12/31/2021,,L,240,96,38,91,41.8,10,29,34.5,10,12,83.3,8,25,33,25,7,4,10,16,-16
1407,DAL,DAL @ SAC,12/31/2021,,W,240,112,42,81,51.9,9,22,40.9,19,22,86.4,10,37,47,30,5,7,13,14,16
1408,POR,POR @ LAL,12/31/2021,,L,240,106,36,102,35.3,12,42,28.6,22,27,81.5,21,33,54,19,4,2,9,22,-33
1409,LAL,LAL vs. POR,12/31/2021,,W,240,139,47,85,55.3,19,41,46.3,26,30,86.7,5,42,47,27,6,9,7,21,33
1410,UTA,UTA vs. MIN,12/31/2021,,W,240,120,37,78,47.4,11,29,37.9,35,41,85.4,10,39,49,18,4,5,18,20,12
1411,MIN,MIN @ UTA,12/31/2021,,L,240,108,40,93,43.0,14,41,34.1,14,22,63.6,11,30,41,23,9,5,10,30,-12
1412,MEM,MEM vs. SAS,12/31/2021,,W,240,118,49,102,48.0,10,26,38.5,10,16,62.5,16,42,58,28,7,11,10,18,13
1413,SAS,SAS @ MEM,12/31/2021,,L,240,105,39,90,43.3,12,35,34.3,15,24,62.5,11,36,47,24,3,8,11,15,-13
1414,CHI,CHI @ IND,12/31/2021,,W,240,108,35,86,40.7,12,27,44.4,26,30,86.7,8,34,42,22,11,5,11,19,2
1415,IND,IND vs. CHI,12/31/2021,,L,240,106,38,91,41.8,8,31,25.8,22,29,75.9,17,38,55,23,7,8,17,22,-2
1416,PHX,PHX @ BOS,12/31/2021,,L,240,108,41,100,41.0,11,35,31.4,15,16,93.8,15,22,37,20,10,2,10,21,-15
1417,BOS,BOS vs. PHX,12/31/2021,,W,240,123,45,83,54.2,10,27,37.0,23,26,88.5,13,38,51,28,6,7,18,18,15
1418,OKC,OKC vs. NYK,12/31/2021,,W,240,95,36,87,41.4,18,43,41.9,5,7,71.4,7,42,49,21,6,3,10,17,15
1419,NYK,NYK @ OKC,12/31/2021,,L,240,80,30,81,37.0,8,41,19.5,12,22,54.5,5,43,48,12,6,3,10,12,-15
1420,TOR,TOR vs. LAC,12/31/2021,,W,240,116,40,96,41.7,11,35,31.4,25,33,75.8,18,36,54,19,8,4,7,18,8
1421,LAC,LAC @ TOR,12/31/2021,,L,240,108,38,78,48.7,15,34,44.1,17,19,89.5,3,34,37,27,6,7,13,24,-8
